Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
261	9	Mi5b3	E5b4	333	332	1	16	208	99	96		11.02778
262	9	Re5	D5	327	327	1	16	208	99	96		11.05556
263	9	Mi5b3	E5b4	333	332	1	16	208	99	96		11.08333
264	9	Fa5	F5	340	340	1	16	208	99	96		11.11111
265	9	Sol5	G5	349	349	1	16	208	99	96		11.13889
266	9	Fa5	F5	340	340	1	16	208	99	96		11.16667
267	9	Mi5b3	E5b4	333	332	1	16	208	99	96		11.19444
268	9	Re5	D5	327	327	1	16	208	99	96		11.22222
269	9	Do5	C5	318	318	1	8	417	95	96		11.27778
270	53			0	0	0	0	0	0	0		11.27778
271	9	Re5	D5	327	327	1	16	208	99	96	ha	11.30556
